iter	Logloss
0	0.6755446063
1	0.6605133163
2	0.6458690475
3	0.6325144918
4	0.6225409618
5	0.6127080984
6	0.6022041181
7	0.5925642231
8	0.583704098
9	0.5755403205
10	0.5686115647
11	0.5616411001
12	0.5567918306
13	0.5523754918
14	0.5466867386
15	0.5429893293
16	0.5391225875
17	0.534458409
18	0.531209135
19	0.5271544125
20	0.5238140482
21	0.5212716359
22	0.5183531706
23	0.5152533244
24	0.5127525955
25	0.5112327341
26	0.5098401474
27	0.5082329793
28	0.5070748032
29	0.504822905
30	0.5027361509
31	0.5011106563
32	0.4996035714
33	0.4978741859
34	0.4971970791
35	0.4959493227
36	0.4947894586
37	0.4934000126
38	0.4923998473
39	0.4911802097
40	0.4900473237
41	0.4895424567
42	0.4885262844
43	0.4878184726
44	0.4869161092
45	0.4860663169
46	0.4852765314
47	0.4851747187
48	0.4849521998
49	0.4848612407
