iter	Passed	Remaining
0	73	22056
1	74	11144
2	75	7504
3	76	5651
4	76	4537
5	77	3789
6	77	3256
7	78	2857
8	78	2552
9	79	2313
10	80	2117
11	81	1948
12	81	1802
13	82	1678
14	82	1572
15	83	1478
16	83	1395
17	84	1322
18	84	1254
19	85	1194
20	85	1139
21	86	1089
22	87	1047
23	87	1007
24	88	971
25	88	936
26	89	903
27	89	871
28	90	843
29	90	816
30	91	791
31	91	768
32	92	745
33	92	725
34	93	705
35	93	685
36	94	668
37	94	652
38	95	638
39	95	623
40	96	609
41	96	595
42	97	582
43	97	569
44	98	557
45	98	545
46	99	534
47	99	523
48	100	512
49	100	503
50	101	495
51	102	487
52	102	480
53	103	471
54	104	463
55	104	456
56	105	448
57	105	441
58	106	434
59	106	427
60	107	420
61	107	414
62	108	407
63	109	403
64	110	397
65	110	392
66	111	387
67	111	381
68	112	376
69	112	371
70	113	365
71	113	360
72	114	355
73	114	350
74	115	345
75	115	341
76	116	337
77	117	334
78	118	330
79	118	326
80	119	321
81	119	318
82	120	313
83	120	310
84	121	306
85	121	303
86	122	299
87	122	295
88	123	292
89	124	289
90	125	287
91	125	284
92	126	281
93	127	278
94	127	275
95	128	272
96	128	269
97	129	266
98	129	263
99	130	260
100	130	257
101	131	255
102	132	253
103	133	250
104	133	248
105	134	245
106	134	242
107	135	240
108	135	237
109	136	235
110	136	232
111	137	230
112	137	227
113	138	225
114	138	223
115	139	221
116	140	219
117	140	217
118	141	215
119	142	213
120	142	211
121	143	209
122	143	207
123	144	205
124	144	202
125	145	200
126	145	198
127	147	197
128	147	195
129	148	194
130	149	192
131	149	190
132	150	188
133	150	186
134	151	185
135	151	183
136	152	181
137	153	179
138	153	178
139	154	176
140	155	175
141	156	173
142	156	171
143	157	170
144	157	168
145	158	167
146	158	165
147	159	163
148	159	161
149	160	160
150	160	158
151	161	157
152	162	155
